document_id,section_id,heading,text
visitor_guide,V01,Quiet room reservations,Quiet rooms can be reserved through the studio portal for sessions of up to 90 minutes. A reservation is released when nobody checks in within 12 minutes of its start. The screen outside the room changes from reserved to available after that grace period. Members should end the session in the portal when leaving early so another person can use the room. The room calendar shows only availability and the member's chosen display name.
visitor_guide,V02,Guest entry,"A member may register one guest at the welcome desk. The host must remain in the building and is responsible for explaining the shared workspace rules. A paper guest pass remains valid until 20:00 on the day it is issued. It does not open equipment rooms or storage areas. If the guest leaves and returns, the desk checks the pass and the host's membership again. Group visits require advance approval instead of individual guest passes."
visitor_guide,V03,Step-free route,"The step-free entrance is on the east side beside the bicycle shelter. Pressing the blue call button alerts the welcome desk, which can release the wide door. The lift connects the entrance level with the workshop floor and has an internal width of 110 centimetres. A portable hearing loop is available from the desk. Members can add access notes to a booking, but medical details are not required."
visitor_guide,V04,Lost property,"Found items should be handed to the welcome desk and are recorded with the date and location. Ordinary items are stored for 30 calendar days. Identity documents and payment cards are transferred to the appropriate public service after one working day. To claim an item, describe a feature that is not visible in the lost property log. Unclaimed low-value items are reused or recycled where possible."
equipment_guide,E01,3D printer queue,"Upload a print file to the equipment queue only after the slicer preview shows no open surfaces. The operator begins the job after checking material and estimated duration. If the member does not confirm the preview within 10 minutes, the queued job is cancelled automatically. PLA filament is the default teaching material. Files that need another material are held for a technician to review before any machine time is assigned."
equipment_guide,E02,Laser cutter ventilation,"The laser cutter starts only when the lid interlock and extraction monitor both report ready. Keep the rear ventilation gap clear by at least 25 centimetres. If the airflow warning appears, pause the job and ask the duty technician to inspect the filter. Do not restart by clearing the warning alone. The machine log records airflow status, material category, and the operator's training identifier for each completed job."
equipment_guide,E03,Camera kit returns,"A camera kit borrowed for an evening session is due by 12:00 on the next working day. Return the camera, two batteries, charger, memory card, and padded case to the equipment desk. The desk checks the parts while the borrower is present. Report a missing or damaged part rather than replacing it with a different model. A kit can be renewed once when no later reservation is waiting."
equipment_guide,E04,Soldering stations,"Each soldering station has a heat-resistant mat, fume arm, iron stand, and safety glasses. Set the fume arm close to the work before heating the iron. Lead-free solder is supplied for teaching sessions. At the end, place hot tools in their stands, remove wire scraps, and leave the fume extraction running for two minutes. A red tag means the station is waiting for an electrical safety check."
data_guide,D01,Room sensor exports,"Room sensors record temperature, humidity, and carbon dioxide for facilities monitoring. Members can download a CSV export containing 15-minute summaries; raw device events are not included. The portal keeps downloadable summaries for 14 days. Timestamps use Coordinated Universal Time and the file header states UTC. Sensor identifiers describe rooms rather than people, and the export does not contain booking names."
data_guide,D02,Account deletion,"A member can request account deletion from the privacy page after cancelling active equipment bookings. The request enters a 7-day waiting period during which it can be withdrawn. After that period, profile fields are removed from the member system. Financial records that must be retained are separated and access is limited. The privacy page displays the request date, planned deletion date, and current status."
data_guide,D03,Equipment incident logs,"An equipment incident report records the machine, time, immediate action, and people assigned to follow-up work. Routine reports remain in the safety system for 180 days. A serious event can be retained longer under the documented safety process. Only the safety team and assigned technician can read the full report. Monthly statistics use grouped categories and do not show member names."
data_guide,D04,Offline equipment events,"When the workshop network is unavailable, equipment terminals place access events in an encrypted local queue. The terminal retries synchronization every five minutes. It can keep queued events for up to two hours; after that limit it blocks new equipment sessions until a technician restores the connection. The screen shows offline mode without exposing the member identifier stored in the queued event."
