label,text
ham,That's my honeymoon outfit. :)
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park."
ham,May i call You later Pls
spam,Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a
ham,"It's that time of the week again, ryan"
spam,You have 1 new message. Please call 08718738034.
ham,So why didnt you holla?
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP"""
ham,So are you guys asking that i get that slippers again or its gone with last year
spam,Money i have won wining number 946 wot do i do next
ham,Just getting back home
spam,You have 1 new voicemail. Please call 08719181513.
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?"
spam,Ringtone Club: Gr8 new polys direct to your mobile every week !
ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
spam,it to 80488. Your 500 free text messages are valid until 31 December 2005.
ham,Did you get any gift? This year i didnt get anything. So bad
spam,You have 1 new message. Please call 08712400200.
ham,That means get the door
spam,88800 and 89034 are premium phone services call 08718711108
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
spam,You have 1 new message. Call 0207-083-6089
spam,"accordingly. I repeat, just text the word ok on your mobile phone and send"
ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
ham,Then why you came to hostel.
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.
ham,Does daddy have a bb now.
ham,Ok then no need to tell me anything i am going to sleep good night
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
spam,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
ham,No. Thank you. You've been wonderful
ham,So how are you really. What are you up to. How's the masters. And so on.
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account
ham,Love you aathi..love u lot..
ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
spam,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
