incoming_id,message,expected_match_id
N-201,The bill PDF I downloaded has no text or charges.,A-101
N-202,My password-reset URL says it is already expired.,A-102
N-203,I receive two identical emails for each account warning.,A-103
N-204,Calendar stopped updating right after I changed the external password.,A-104
N-205,The revenue dashboard ignores orders that were refunded.,A-105
N-206,Uploading a receipt from my phone shuts down the app.,A-106
N-207,How can I add another person to my workspace?,
N-208,The calendar shows events one hour late.,
N-209,The exported spreadsheet opens with everything in column A.,A-107
N-210,I cannot read the Save text when dark mode is active.,A-108
