id,date,channel,customer,rating,comment
1001,2026-03-02,email,A. Okafor,5,"Loved the poetry night! The new chairs are so much comfier. Will bring friends next week."
1002,03/02/2026,in-store,,4,"Staff super helpful finding a gift. checkout line was long though"
1003,2026-03-03,web,mara_l,2,"ordered online, took 9 days to arrive and no update email. frustrating."
1004,2026-03-03,email,A. Okafor,5,"Loved the poetry night! The new chairs are so much comfier. Will bring friends next week."
1005,2026-03-04,in-store,Tom R.,3,"good selection but the kids section is a mess, hard to find anything"
1006,Mar 5 2026,web,,1,"website crashed twice while paying. gave up and bought from amazon sorry"
1007,2026-03-05,in-store,Priya S,5,"the staff recommendation shelf is my favorite thing. found 3 books i love"
1008,2026-03-06,email,,4,"newsletter is nice but comes too often, 3x a week is a lot"
1009,2026-03-06,web,jdean,2,"search on the site never finds what i want even when you have it in store"
1010,2026-03-07,in-store,,5,"cozy, great coffee, staff know their stuff. my happy place"
1011,2026-03-08,email,Lena M.,3,"event was fun but started 20 min late and it was hard to hear the author"
1012,03-08-2026,web,,2,"return process is confusing, had to email twice to get a label"
1013,2026-03-09,in-store,Sam,4,"love the local authors table. wish it were bigger"
1014,2026-03-09,email,Priya S,5,"the staff recommendation shelf is my favorite thing. found 3 books i love"
1015,2026-03-10,web,,1,"charged me twice for one order. still waiting on the refund a week later"
1016,2026-03-11,in-store,R. Nguyen,4,"parking is the only downside. store itself is lovely"
1017,2026-03-11,email,,5,"the handwritten thank-you note in my order made my day. small thing, big deal"
1018,2026-03-12,web,mara_l,3,"site is slow on my phone but the book arrived fine this time"
1019,2026-03-13,in-store,,2,"asked about an order and nobody could find it. felt disorganized"
1020,2026-03-13,email,Tom R.,4,"good newsletter, but the discount code didn't work at checkout"
1021,2026-03-14,web,,5,"easiest online order i've done. thank you for the fast shipping"
1022,2026-03-14,in-store,Priya S,5,"the staff recommendation shelf is my favorite thing. found 3 books i love"
1023,2026-03-15,email,,3,"i like the events but i never hear about them until after they happen"
1024,2026-03-16,web,kbell,1,"payment page kept rejecting my card, no error message just spun forever"
1025,2026-03-16,in-store,,4,"warm and welcoming. checkout was slow again though, needs a second register"
1026,2026-03-17,email,Lena M.,5,"the curated birthday box was perfect. staff nailed the recommendations"
1027,2026-03-18,web,,2,"couldn't find the events page on the website. had to ask on instagram"
1028,2026-03-18,in-store,Sam,3,"kids area still messy. otherwise a great little shop"
1029,2026-03-19,email,,4,"newsletter too frequent for me, but the content is genuinely good"
1030,2026-03-20,web,jdean,1,"third time the site crashed during checkout. i want to support you but this is hard"
