case_id,difficulty,equipment,note,expected_priority,prompt_a_prediction,prompt_b_prediction
M001,easy,air handler,"At the north room, the air handler has a faint new vibration. The required action is stated clearly.",monitor,monitor,monitor
M002,easy,water pump,"At the north room, the water pump has repeated warning lights. The required action is stated clearly.",schedule,schedule,schedule
M003,easy,battery cabinet,"At the north room, the battery cabinet has smoke near the housing. The required action is stated clearly.",urgent,urgent,urgent
M004,easy,lift motor,"At the north room, the lift motor has a small temperature rise. The required action is stated clearly.",monitor,monitor,monitor
M005,easy,cooling fan,"At the north room, the cooling fan has reduced flow for two shifts. The required action is stated clearly.",schedule,schedule,schedule
M006,easy,air handler,"At the level two, the air handler has a strong burning smell. The required action is stated clearly.",urgent,urgent,urgent
M007,easy,water pump,"At the level two, the water pump has an occasional soft click. The required action is stated clearly.",monitor,monitor,monitor
M008,easy,battery cabinet,"At the level two, the battery cabinet has a growing vibration. The required action is stated clearly.",schedule,schedule,schedule
M009,easy,lift motor,"At the level two, the lift motor has a safety guard has broken. The required action is stated clearly.",urgent,urgent,urgent
M010,easy,cooling fan,"At the level two, the cooling fan has a faint new vibration. The required action is stated clearly.",monitor,monitor,monitor
M011,easy,air handler,"At the storage area, the air handler has repeated warning lights. The required action is stated clearly.",schedule,schedule,schedule
M012,easy,water pump,"At the storage area, the water pump has smoke near the housing. The required action is stated clearly.",urgent,urgent,urgent
M013,easy,battery cabinet,"At the storage area, the battery cabinet has a small temperature rise. The required action is stated clearly.",monitor,monitor,monitor
M014,easy,lift motor,"At the storage area, the lift motor has reduced flow for two shifts. The required action is stated clearly.",schedule,schedule,schedule
M015,easy,cooling fan,"At the storage area, the cooling fan has a strong burning smell. The required action is stated clearly.",urgent,urgent,urgent
M016,easy,air handler,"At the east corridor, the air handler has an occasional soft click. The required action is stated clearly.",monitor,monitor,monitor
M017,easy,water pump,"At the east corridor, the water pump has a growing vibration. The required action is stated clearly.",schedule,schedule,schedule
M018,easy,battery cabinet,"At the east corridor, the battery cabinet has a safety guard has broken. The required action is stated clearly.",urgent,urgent,urgent
M019,easy,lift motor,"At the east corridor, the lift motor has a faint new vibration. The required action is stated clearly.",monitor,monitor,monitor
M020,easy,cooling fan,"At the east corridor, the cooling fan has repeated warning lights. The required action is stated clearly.",schedule,schedule,schedule
M021,easy,air handler,"At the service bay, the air handler has smoke near the housing. The required action is stated clearly.",urgent,urgent,urgent
M022,easy,water pump,"At the service bay, the water pump has a small temperature rise. The required action is stated clearly.",monitor,monitor,monitor
M023,easy,battery cabinet,"At the service bay, the battery cabinet has reduced flow for two shifts. The required action is stated clearly.",schedule,schedule,schedule
M024,easy,lift motor,"At the service bay, the lift motor has a strong burning smell. The required action is stated clearly.",urgent,urgent,urgent
M025,easy,cooling fan,"At the service bay, the cooling fan has an occasional soft click. The required action is stated clearly.",monitor,monitor,monitor
M026,easy,air handler,"At the north room, the air handler has a growing vibration. The required action is stated clearly.",schedule,schedule,schedule
M027,easy,water pump,"At the north room, the water pump has a safety guard has broken. The required action is stated clearly.",urgent,urgent,urgent
M028,easy,battery cabinet,"At the north room, the battery cabinet has a faint new vibration. The required action is stated clearly.",monitor,monitor,monitor
M029,easy,lift motor,"At the north room, the lift motor has repeated warning lights. The required action is stated clearly.",schedule,schedule,schedule
M030,easy,cooling fan,"At the north room, the cooling fan has smoke near the housing. The required action is stated clearly.",urgent,urgent,urgent
M031,easy,air handler,"At the level two, the air handler has a small temperature rise. The required action is stated clearly.",monitor,monitor,monitor
M032,easy,water pump,"At the level two, the water pump has reduced flow for two shifts. The required action is stated clearly.",schedule,schedule,schedule
M033,easy,battery cabinet,"At the level two, the battery cabinet has a strong burning smell. The required action is stated clearly.",urgent,urgent,urgent
M034,easy,lift motor,"At the level two, the lift motor has an occasional soft click. The required action is stated clearly.",monitor,monitor,monitor
M035,easy,cooling fan,"At the level two, the cooling fan has a growing vibration. The required action is stated clearly.",schedule,schedule,monitor
M036,easy,air handler,"At the storage area, the air handler has a safety guard has broken. The required action is stated clearly.",urgent,urgent,monitor
M037,easy,water pump,"At the storage area, the water pump has a faint new vibration. The required action is stated clearly.",monitor,schedule,monitor
M038,easy,battery cabinet,"At the storage area, the battery cabinet has repeated warning lights. The required action is stated clearly.",schedule,monitor,schedule
M039,easy,lift motor,"At the storage area, the lift motor has smoke near the housing. The required action is stated clearly.",urgent,monitor,urgent
M040,easy,cooling fan,"At the storage area, the cooling fan has a small temperature rise. The required action is stated clearly.",monitor,urgent,monitor
M041,medium,air handler,"At the north room, the air handler has repeated warning lights. The note also mentions an older unrelated warning.",schedule,schedule,schedule
M042,medium,water pump,"At the north room, the water pump has smoke near the housing. The note also mentions an older unrelated warning.",urgent,urgent,urgent
M043,medium,battery cabinet,"At the north room, the battery cabinet has a faint new vibration. The note also mentions an older unrelated warning.",monitor,monitor,monitor
M044,medium,lift motor,"At the north room, the lift motor has reduced flow for two shifts. The note also mentions an older unrelated warning.",schedule,schedule,schedule
M045,medium,cooling fan,"At the north room, the cooling fan has a strong burning smell. The note also mentions an older unrelated warning.",urgent,urgent,urgent
M046,medium,air handler,"At the level two, the air handler has a small temperature rise. The note also mentions an older unrelated warning.",monitor,monitor,monitor
M047,medium,water pump,"At the level two, the water pump has a growing vibration. The note also mentions an older unrelated warning.",schedule,schedule,schedule
M048,medium,battery cabinet,"At the level two, the battery cabinet has a safety guard has broken. The note also mentions an older unrelated warning.",urgent,urgent,urgent
M049,medium,lift motor,"At the level two, the lift motor has an occasional soft click. The note also mentions an older unrelated warning.",monitor,monitor,monitor
M050,medium,cooling fan,"At the level two, the cooling fan has repeated warning lights. The note also mentions an older unrelated warning.",schedule,schedule,schedule
M051,medium,air handler,"At the storage area, the air handler has smoke near the housing. The note also mentions an older unrelated warning.",urgent,urgent,urgent
M052,medium,water pump,"At the storage area, the water pump has a faint new vibration. The note also mentions an older unrelated warning.",monitor,monitor,monitor
M053,medium,battery cabinet,"At the storage area, the battery cabinet has reduced flow for two shifts. The note also mentions an older unrelated warning.",schedule,schedule,schedule
M054,medium,lift motor,"At the storage area, the lift motor has a strong burning smell. The note also mentions an older unrelated warning.",urgent,urgent,urgent
M055,medium,cooling fan,"At the storage area, the cooling fan has a small temperature rise. The note also mentions an older unrelated warning.",monitor,monitor,monitor
M056,medium,air handler,"At the east corridor, the air handler has a growing vibration. The note also mentions an older unrelated warning.",schedule,schedule,schedule
M057,medium,water pump,"At the east corridor, the water pump has a safety guard has broken. The note also mentions an older unrelated warning.",urgent,urgent,urgent
M058,medium,battery cabinet,"At the east corridor, the battery cabinet has an occasional soft click. The note also mentions an older unrelated warning.",monitor,monitor,monitor
M059,medium,lift motor,"At the east corridor, the lift motor has repeated warning lights. The note also mentions an older unrelated warning.",schedule,schedule,schedule
M060,medium,cooling fan,"At the east corridor, the cooling fan has smoke near the housing. The note also mentions an older unrelated warning.",urgent,urgent,urgent
M061,medium,air handler,"At the service bay, the air handler has a faint new vibration. The note also mentions an older unrelated warning.",monitor,monitor,monitor
M062,medium,water pump,"At the service bay, the water pump has reduced flow for two shifts. The note also mentions an older unrelated warning.",schedule,schedule,schedule
M063,medium,battery cabinet,"At the service bay, the battery cabinet has a strong burning smell. The note also mentions an older unrelated warning.",urgent,urgent,urgent
M064,medium,lift motor,"At the service bay, the lift motor has a small temperature rise. The note also mentions an older unrelated warning.",monitor,monitor,monitor
M065,medium,cooling fan,"At the service bay, the cooling fan has a growing vibration. The note also mentions an older unrelated warning.",schedule,schedule,schedule
M066,medium,air handler,"At the north room, the air handler has a safety guard has broken. The note also mentions an older unrelated warning.",urgent,urgent,urgent
