document_id,title,text
KB-101,Pair a new soil probe,"The pairing label PL-18 identifies the low-energy radio profile used by a SproutSense soil probe. In the mobile app, choose Add probe, scan the square code, and hold the probe link button for four seconds. A green pulse confirms pairing. PL-18 is a profile label, not an error message."
KB-102,Store readings during an outage,"A field gateway keeps measurements in encrypted local storage when its internet connection is unavailable. It can buffer 720 readings per probe. After the connection returns, the gateway sends the oldest saved measurement first and continues until the local queue is empty."
KB-103,Low-power sampling,Low-power mode records soil moisture once every 30 minutes and sends a batch every two hours. Normal mode records every five minutes. Changing the sampling mode affects future measurements only; it does not rewrite readings already stored on the gateway.
KB-104,Export station data,"A station owner can export readings as a comma-separated values file from the Data page. The exported_at and measured_at columns use Coordinated Universal Time, marked UTC in the column description. Spreadsheet software may display those timestamps in a local time zone after import."
KB-105,Probe error AX-204,"Error AX-204 means the moisture input detected an electrical short. Disconnect the probe, dry the connector, and inspect its pins. Reconnect it only when the connector is clean and dry. If AX-204 returns, mark the probe unavailable and send it for electrical inspection."
KB-106,Prevent duplicate uploads,"Each measurement has a probe identifier and sequence number. The cloud service uses both values as an idempotency key, so retrying an upload does not create a second reading. A sequence gap is kept visible because filling it with a copied value would hide missing field data."
KB-107,Schedule probe calibration,Calibrate a moisture probe after installation and repeat the check every six months. Also calibrate after replacing the sensing tip or moving the probe to a different soil type. Keep the probe in its reference medium for ten minutes before saving the new calibration value.
KB-108,Workspace roles,"Owners can invite people, remove stations, change calibration, and create API keys. Editors can change alert rules and station names but cannot manage billing or API keys. Viewers have read-only access to charts and exports; they cannot change a probe calibration."
KB-109,Amber gateway light,A steady amber status light means the gateway can hear its probes but cannot reach the cloud service. Check the network cable or wireless connection. A blinking amber light has a different meaning: the gateway is installing signed firmware and should remain powered.
KB-110,Restore deleted station data,"Deleting a station starts a 14-day recovery period. During that period, an owner can restore the station, its alert rules, and its readings from the Recycle page. After day 14, the station leaves the active recovery system and cannot be restored through the application."
KB-111,Firmware update recovery,"A gateway keeps one verified firmware image as a fallback. If the first startup after an update fails three health checks, the device automatically boots the previous image. Users cannot manually downgrade firmware from the app. Support can approve a signed recovery package for a confirmed compatibility problem."
KB-112,Reduce alert switching,"Hysteresis prevents an alert from repeatedly opening and closing when a reading moves near its threshold. For a low-moisture threshold of 20 percent with hysteresis of 3 percentage points, the alert opens below 20 percent and closes only after the reading rises above 23 percent."
