query_id,region,plan,expected_doc_id,method,returned_doc_ids,returned_count,eligible_slots,eligible_returned,hit_at_1,hit_at_3
Q01,apac,free,G01,unfiltered,E01|X01|U01,3,3,0,0,0
Q01,apac,free,G01,post_filter,,0,3,0,0,0
Q01,apac,free,G01,pre_filter,G01|G05|G04,3,3,3,1,1
Q02,eu,team,E01,unfiltered,E01|X01|U01,3,3,1,1,1
Q02,eu,team,E01,post_filter,E01,1,3,1,1,1
Q02,eu,team,E01,pre_filter,E01|G01|E04,3,3,3,1,1
Q03,us,enterprise,U02,unfiltered,E02|X02|A02,3,3,0,0,0
Q03,us,enterprise,U02,post_filter,,0,3,0,0,0
Q03,us,enterprise,U02,pre_filter,U02|G02|U05,3,3,3,1,1
Q04,eu,free,G02,unfiltered,E02|X02|A02,3,3,0,0,0
Q04,eu,free,G02,post_filter,,0,3,0,0,0
Q04,eu,free,G02,pre_filter,G02|G03|G01,3,3,3,1,1
Q05,apac,team,A03,unfiltered,E03|U03|X03,3,3,0,0,0
Q05,apac,team,A03,post_filter,,0,3,0,0,0
Q05,apac,team,A03,pre_filter,A03|G03|A06,3,3,3,1,1
Q06,us,free,G03,unfiltered,E03|U03|X03,3,3,0,0,0
Q06,us,free,G03,post_filter,,0,3,0,0,0
Q06,us,free,G03,pre_filter,G03|G01|G02,3,3,3,1,1
Q07,eu,team,E04,unfiltered,E04|A04|U04,3,3,1,1,1
Q07,eu,team,E04,post_filter,E04,1,3,1,1,1
Q07,eu,team,E04,pre_filter,E04|G04|E01,3,3,3,1,1
Q08,apac,free,G04,unfiltered,E04|A04|U04,3,3,0,0,0
Q08,apac,free,G04,post_filter,,0,3,0,0,0
Q08,apac,free,G04,pre_filter,G04|G02|G05,3,3,3,1,1
Q09,us,enterprise,U05,unfiltered,E05|U05|X05,3,3,1,0,1
Q09,us,enterprise,U05,post_filter,U05,1,3,1,1,1
Q09,us,enterprise,U05,pre_filter,U05|G05|G02,3,3,3,1,1
Q10,eu,free,G05,unfiltered,E05|U05|X05,3,3,0,0,0
Q10,eu,free,G05,post_filter,,0,3,0,0,0
Q10,eu,free,G05,pre_filter,G05|G02|G04,3,3,3,1,1
Q11,apac,team,A06,unfiltered,E06|A06|U06,3,3,1,0,1
Q11,apac,team,A06,post_filter,A06,1,3,1,1,1
Q11,apac,team,A06,pre_filter,A06|A03|G06,3,3,3,1,1
Q12,us,free,G06,unfiltered,E06|A06|U06,3,3,0,0,0
Q12,us,free,G06,post_filter,,0,3,0,0,0
Q12,us,free,G06,pre_filter,G06|G05|G01,3,3,3,1,1
