id,question,answer
1,How do I reset my password?,"Go to the sign-in page and click ""Forgot password."" We'll email you a secure link to choose a new one."
2,How long does shipping take?,Standard shipping takes 3-5 business days. Express shipping arrives in 1-2 business days.
3,What is your return policy?,You can return any unused item within 30 days of delivery for a full refund.
4,Do you ship internationally?,Yes. We ship to over 60 countries. International orders typically arrive within 7-14 business days.
5,How can I track my order?,Sign in to your account and open the Orders page to see live tracking for every shipment.
6,What payment methods do you accept?,"We accept Visa, Mastercard, American Express, and PayPal."
7,How do I cancel my subscription?,"Open Account Settings, choose Billing, and click ""Cancel subscription."" You keep access until the period ends."
8,Is my payment information secure?,Yes. All payments are encrypted and processed by a PCI-compliant provider. We never store full card numbers.
9,Can I change my shipping address after ordering?,"If your order has not shipped yet, you can edit the address from the Orders page. Otherwise contact support."
10,How do I contact customer support?,Email us at help@example.com or use the live chat button at the bottom-right of any page.
11,Do you offer student discounts?,Yes. Verify your student status at checkout to receive 15% off your order.
12,What should I do if my item arrives damaged?,Take a photo and email it to help@example.com within 7 days. We'll send a replacement at no cost.
13,Can I buy a gift card?,"Yes. Gift cards are available in $25, $50, and $100 amounts and are delivered by email."
14,How do I update my email address?,"Open Account Settings, edit the email field, and confirm the change from the verification email we send."
15,Do you have a mobile app?,Yes. Our app is available for free on the iOS App Store and Google Play.
